"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.37109,0.21515,0,0.02044,-0.0016175,0,-0.0016175,-0.00607,0,0,0,0,204.6,-12.442,0,-12.442,0.68095,0,0,0,47.373,4.4741,-0.72012,0
-0.36942,0.21597,0,0.021098,-0.0016145,0,-0.0016145,-0.0062827,0,0,0,0,211.13,-12.419,0,-12.419,0.51125,0,0,0,48.84,4.5528,-0.72568,0
-0.36776,0.21673,0,0.021144,-0.0016251,0,-0.0016251,-0.0062827,0,0,0,0,211.64,-12.501,0,-12.501,0.66646,0,0,0,48.995,4.6313,-0.73111,0
-0.3661,0.21745,0,0.021157,-0.0015953,0,-0.0015953,-0.0062892,0,0,0,0,211.77,-12.272,0,-12.272,0.63787,0,0,0,49.016,4.7096,-0.73642,0
-0.36445,0.21813,0,0.021207,-0.0015744,0,-0.0015744,-0.0063051,0,0,0,0,212.26,-12.111,0,-12.111,0.62781,0,0,0,49.128,4.7876,-0.7416,0
-0.3628,0.21877,0,0.021236,-0.0015573,0,-0.0015573,-0.0063141,0,0,0,0,212.54,-11.979,0,-11.979,0.62135,0,0,0,49.191,4.8653,-0.74667,0
-0.36116,0.21937,0,0.021261,-0.0015395,0,-0.0015395,-0.0063225,0,0,0,0,212.79,-11.842,0,-11.842,0.61336,0,0,0,49.248,4.9428,-0.75162,0
-0.35952,0.21992,0,0.021277,-0.0015222,0,-0.0015222,-0.0063303,0,0,0,0,212.95,-11.709,0,-11.709,0.58136,0,0,0,49.276,5.0201,-0.75645,0
-0.35789,0.22044,0,0.020915,-0.0014589,0,-0.0014589,-0.006225,0,0,0,0,209.31,-11.222,0,-11.222,0.54402,0,0,0,48.428,5.0971,-0.76118,0
-0.35626,0.22093,0,0.020915,-0.0014589,0,-0.0014589,-0.006225,0,0,0,0,209.31,-11.222,0,-11.222,0.54402,0,0,0,48.428,5.1739,-0.76579,0
-0.35463,0.22139,0,0.021358,-0.0014402,0,-0.0014402,-0.0063633,0,0,0,0,213.73,-11.078,0,-11.078,0.48554,0,0,0,49.434,5.2505,-0.77029,0
-0.35301,0.22182,0,0.021386,-0.0014317,0,-0.0014317,-0.0063674,0,0,0,0,214.02,-11.013,0,-11.013,0.53104,0,0,0,49.511,5.3268,-0.77469,0
-0.3514,0.22221,0,0.021393,-0.0014049,0,-0.0014049,-0.0063724,0,0,0,0,214.08,-10.807,0,-10.807,0.50067,0,0,0,49.519,5.4029,-0.77899,0
-0.34979,0.22259,0,0.021431,-0.001379,0,-0.001379,-0.0063844,0,0,0,0,214.46,-10.608,0,-10.608,0.49337,0,0,0,49.604,5.4787,-0.78318,0
-0.34818,0.22293,0,0.021455,-0.001364,0,-0.001364,-0.0063914,0,0,0,0,214.7,-10.492,0,-10.492,0.49628,0,0,0,49.661,5.5543,-0.78728,0
-0.34658,0.22325,0,0.021472,-0.0013471,0,-0.0013471,-0.0063984,0,0,0,0,214.86,-10.362,0,-10.362,0.47351,0,0,0,49.692,5.6297,-0.79127,0
-0.34498,0.22354,0,0.02148,-0.0013193,0,-0.0013193,-0.0064035,0,0,0,0,214.93,-10.149,0,-10.149,0.44363,0,0,0,49.701,5.7048,-0.79517,0
-0.34338,0.22382,0,0.02151,-0.0012934,0,-0.0012934,-0.0064134,0,0,0,0,215.23,-9.9492,0,-9.9492,0.43447,0,0,0,49.768,5.7797,-0.79898,0
-0.34179,0.22407,0,0.021532,-0.0012769,0,-0.0012769,-0.0064201,0,0,0,0,215.45,-9.8226,0,-9.8226,0.43375,0,0,0,49.819,5.8544,-0.8027,0
-0.34021,0.22431,0,0.021545,-0.0012592,0,-0.0012592,-0.0064258,0,0,0,0,215.57,-9.6862,0,-9.6862,0.4137,0,0,0,49.843,5.9288,-0.80632,0
-0.33863,0.22452,0,0.021551,-0.0012342,0,-0.0012342,-0.0064302,0,0,0,0,215.63,-9.4937,0,-9.4937,0.38665,0,0,0,49.85,6.0031,-0.80986,0
-0.33705,0.22472,0,0.021576,-0.0012094,0,-0.0012094,-0.0064401,0,0,0,0,215.87,-9.3032,0,-9.3032,0.3594,0,0,0,49.899,6.0771,-0.81331,0
-0.33547,0.2249,0,0.021591,-0.0011875,0,-0.0011875,-0.0064456,0,0,0,0,216.02,-9.1349,0,-9.1349,0.34904,0,0,0,49.93,6.1508,-0.81667,0
-0.3339,0.22507,0,0.021607,-0.0011697,0,-0.0011697,-0.0064507,0,0,0,0,216.17,-8.9977,0,-8.9977,0.34417,0,0,0,49.965,6.2244,-0.81995,0
-0.33234,0.22522,0,0.021618,-0.0011432,0,-0.0011432,-0.0064556,0,0,0,0,216.28,-8.7938,0,-8.7938,0.32791,0,0,0,49.986,6.2977,-0.82315,0
-0.33077,0.22536,0,0.021638,-0.0011192,0,-0.0011192,-0.0064618,0,0,0,0,216.47,-8.6096,0,-8.6096,0.32405,0,0,0,50.03,6.3708,-0.82626,0
-0.32922,0.22548,0,0.021661,-0.0011025,0,-0.0011025,-0.006469,0,0,0,0,216.7,-8.481,0,-8.481,0.32011,0,0,0,50.082,6.4437,-0.82929,0
-0.32766,0.22559,0,0.021669,-0.0010826,0,-0.0010826,-0.006473,0,0,0,0,216.78,-8.3274,0,-8.3274,0.30322,0,0,0,50.095,6.5164,-0.83225,0
-0.32611,0.22569,0,0.021678,-0.0010581,0,-0.0010581,-0.0064773,0,0,0,0,216.87,-8.139,0,-8.139,0.28727,0,0,0,50.113,6.5888,-0.83513,0
-0.32456,0.22578,0,0.021698,-0.0010333,0,-0.0010333,-0.006484,0,0,0,0,217.06,-7.9484,0,-7.9484,0.27944,0,0,0,50.156,6.6611,-0.83793,0
-0.32302,0.22586,0,0.021705,-0.0010186,0,-0.0010186,-0.0064872,0,0,0,0,217.13,-7.8352,0,-7.8352,0.26778,0,0,0,50.169,6.7331,-0.84065,0
-0.32148,0.22593,0,0.021715,-0.00099426,0,-0.00099426,-0.0064923,0,0,0,0,217.23,-7.6481,0,-7.6481,0.24513,0,0,0,50.186,6.8049,-0.8433,0
-0.31995,0.226,0,0.021729,-0.00096969,0,-0.00096969,-0.0064976,0,0,0,0,217.36,-7.4591,0,-7.4591,0.23196,0,0,0,50.213,6.8765,-0.84588,0
-0.31841,0.22605,0,0.021744,-0.00094976,0,-0.00094976,-0.0065023,0,0,0,0,217.51,-7.3059,0,-7.3059,0.22804,0,0,0,50.246,6.9479,-0.84839,0
